target	method	design	n_animals	residual_df	family_df	h2_true	level	n_boot	reps	fit_success	interval_success	covered	coverage	mcse_observed	mcse_nominal	mean_width
sigma_a2	sigma_a2_delta_t_family_df_probe	tiny	36	33	9	0.4	0.95	0	500	407	407	401	0.98525799	0.0059738759	0.01080313	1.320227
sigma_a2	sigma_a2_delta_t_family_df_probe	tiny	36	33	9	0.6	0.9	0	500	440	440	391	0.88863636	0.014997104	0.014301939	1.2378134
sigma_a2	sigma_a2_delta_t_family_df_probe	tiny	36	33	9	0.6	0.95	0	500	440	440	405	0.92045455	0.012899786	0.010390118	1.430279
sigma_a2	sigma_a2_delta_t_family_df_probe	tiny	36	33	9	0.8	0.9	0	500	396	396	349	0.88131313	0.016252451	0.015075567	1.3376568
sigma_a2	sigma_a2_delta_t_family_df_probe	tiny	36	33	9	0.8	0.95	0	500	396	396	366	0.92424242	0.013297145	0.010952146	1.564958
sigma_a2	sigma_a2_delta_t_residual_df_probe	tiny	36	33	9	0.2	0.9	0	500	352	352	350	0.99431818	0.0040062221	0.015990054	0.91991665
sigma_a2	sigma_a2_delta_t_residual_df_probe	tiny	36	33	9	0.2	0.95	0	500	352	352	352	1	0	0.011616505	1.044232
sigma_a2	sigma_a2_delta_t_residual_df_probe	tiny	36	33	9	0.4	0.9	0	500	407	407	383	0.94103194	0.011676519	0.014870448	1.0853345
sigma_a2	sigma_a2_delta_t_residual_df_probe	tiny	36	33	9	0.4	0.95	0	500	407	407	391	0.96068796	0.0096328934	0.01080313	1.2305003
sigma_a2	sigma_a2_delta_t_residual_df_probe	tiny	36	33	9	0.6	0.9	0	500	440	440	387	0.87954545	0.015517237	0.014301939	1.166904
sigma_a2	sigma_a2_delta_t_residual_df_probe	tiny	36	33	9	0.6	0.95	0	500	440	440	400	0.90909091	0.013705061	0.010390118	1.3324607
sigma_a2	sigma_a2_delta_t_residual_df_probe	tiny	36	33	9	0.8	0.9	0	500	396	396	339	0.85606061	0.017639834	0.015075567	1.2513999
sigma_a2	sigma_a2_delta_t_residual_df_probe	tiny	36	33	9	0.8	0.95	0	500	396	396	359	0.90656566	0.014625318	0.010952146	1.4525365
sigma_a2	sigma_a2_delta_z	tiny	36	33	9	0.2	0.9	0	500	352	352	350	0.99431818	0.0040062221	0.015990054	0.9020951
sigma_a2	sigma_a2_delta_z	tiny	36	33	9	0.2	0.95	0	500	352	352	352	1	0	0.011616505	1.0176741
sigma_a2	sigma_a2_delta_z	tiny	36	33	9	0.4	0.9	0	500	407	407	378	0.92874693	0.012751265	0.014870448	1.0635802
sigma_a2	sigma_a2_delta_z	tiny	36	33	9	0.4	0.95	0	500	407	407	388	0.95331695	0.010456854	0.01080313	1.2001695
sigma_a2	sigma_a2_delta_z	tiny	36	33	9	0.6	0.9	0	500	440	440	387	0.87954545	0.015517237	0.014301939	1.1420613
sigma_a2	sigma_a2_delta_z	tiny	36	33	9	0.6	0.95	0	500	440	440	399	0.90681818	0.013857962	0.010390118	1.2986164
sigma_a2	sigma_a2_delta_z	tiny	36	33	9	0.8	0.9	0	500	396	396	338	0.85353535	0.017767633	0.015075567	1.2212975
sigma_a2	sigma_a2_delta_z	tiny	36	33	9	0.8	0.95	0	500	396	396	355	0.89646465	0.015309582	0.010952146	1.4115317
sigma_a2	sigma_a2_profile_chisq	tiny	36	33	9	0.2	0.9	0	500	352	352	340	0.96590909	0.0096719955	0.015990054	1.2269942
sigma_a2	sigma_a2_profile_chisq	tiny	36	33	9	0.2	0.95	0	500	352	352	347	0.98579545	0.0063071875	0.011616505	1.5056657
sigma_a2	sigma_a2_profile_chisq	tiny	36	33	9	0.4	0.9	0	500	407	407	393	0.96560197	0.0090337627	0.014870448	1.3260205
sigma_a2	sigma_a2_profile_chisq	tiny	36	33	9	0.4	0.95	0	500	407	407	400	0.98280098	0.0064444729	0.01080313	1.6043603
sigma_a2	sigma_a2_profile_chisq	tiny	36	33	9	0.6	0.9	0	500	440	440	421	0.95681818	0.0096903359	0.014301939	1.3048462
sigma_a2	sigma_a2_profile_chisq	tiny	36	33	9	0.6	0.95	0	500	440	440	433	0.98409091	0.0059650481	0.010390118	1.5746121
sigma_a2	sigma_a2_profile_chisq	tiny	36	33	9	0.8	0.9	0	500	396	396	377	0.9520202	0.01074001	0.015075567	1.3202576
sigma_a2	sigma_a2_profile_chisq	tiny	36	33	9	0.8	0.95	0	500	396	396	389	0.98232323	0.006621876	0.010952146	1.5732439
sigma_a2	sigma_a2_satterthwaite_chisq_probe	tiny	36	33	9	0.2	0.9	0	500	352	137	61	0.44525547	0.042461063	0.02563073	3.9204133
sigma_a2	sigma_a2_satterthwaite_chisq_probe	tiny	36	33	9	0.2	0.95	0	500	352	137	80	0.58394161	0.042111583	0.018620293	6.6459744
sigma_a2	sigma_a2_satterthwaite_chisq_probe	tiny	36	33	9	0.4	0.9	0	500	407	240	183	0.7625	0.027469206	0.019364917	3.5171319
sigma_a2	sigma_a2_satterthwaite_chisq_probe	tiny	36	33	9	0.4	0.95	0	500	407	240	198	0.825	0.024526771	0.014068286	5.6479521
sigma_a2	sigma_a2_satterthwaite_chisq_probe	tiny	36	33	9	0.6	0.9	0	500	440	342	307	0.89766082	0.016389438	0.016222142	2.8128701
sigma_a2	sigma_a2_satterthwaite_chisq_probe	tiny	36	33	9	0.6	0.95	0	500	440	342	320	0.93567251	0.013266219	0.011785113	4.3188165
sigma_a2	sigma_a2_satterthwaite_chisq_probe	tiny	36	33	9	0.8	0.9	0	500	396	364	352	0.96703297	0.0093585783	0.015724273	2.3235682
sigma_a2	sigma_a2_satterthwaite_chisq_probe	tiny	36	33	9	0.8	0.95	0	500	396	364	361	0.99175824	0.0047387321	0.011423419	3.3669528
