# HSquared.jl AI-REML per-section profiler  2026-09-19T08:03:15.572
# git_sha=2dc5f8f7  julia=1.10.0  os=Darwin arm64-apple-darwin22.4.0
# blas=LBTConfig([ILP64] libopenblas64_.dylib)
# JULIA_NUM_THREADS=4  OPENBLAS_NUM_THREADS=1
# cpu=Apple M1 Ultra
# NOT CI / OPT-IN measurement only. No performance claim, no regression gate.
fixture	q	fill	iteration	section	method	wall_s	bytes	factorizations
halfsib	20000	3.850	4	cholmod_factor	instrumented	0.004210	12242168	15
halfsib	20000	3.850	4	mme_solve	instrumented	0.000286	2240904	15
halfsib	20000	3.850	4	selinv	instrumented	0.001007	4682064	15
halfsib	20000	3.850	4	ai_step	instrumented	0.000799	6404752	15
halfsib	20000	3.850	4	iteration_total	instrumented	0.008626	0	15
halfsib	20000	3.850	5	mme_assembly	instrumented	0.002601	22934016	15
halfsib	20000	3.850	5	cholmod_factor	instrumented	0.003782	12242008	15
halfsib	20000	3.850	5	mme_solve	instrumented	0.000278	2240904	15
halfsib	20000	3.850	5	selinv	instrumented	0.000976	4682064	15
halfsib	20000	3.850	5	ai_step	instrumented	0.000768	6404592	15
halfsib	20000	3.850	5	iteration_total	instrumented	0.008406	0	15
halfsib	20000	3.850	6	mme_assembly	instrumented	0.003261	22934016	15
halfsib	20000	3.850	6	cholmod_factor	instrumented	0.003932	12242008	15
halfsib	20000	3.850	6	mme_solve	instrumented	0.000300	2240904	15
halfsib	20000	3.850	6	selinv	instrumented	0.001005	4682064	15
halfsib	20000	3.850	6	ai_step	instrumented	0.001031	6404432	15
halfsib	20000	3.850	6	iteration_total	instrumented	0.009532	0	15
halfsib	20000	3.850	7	mme_assembly	instrumented	0.002559	22934016	15
halfsib	20000	3.850	7	cholmod_factor	instrumented	0.003882	12242008	15
halfsib	20000	3.850	7	mme_solve	instrumented	0.000292	2240904	15
halfsib	20000	3.850	7	selinv	instrumented	0.001025	4682064	15
halfsib	20000	3.850	7	ai_step	instrumented	0.000801	6404432	15
halfsib	20000	3.850	7	iteration_total	instrumented	0.008561	0	15
halfsib	20000	3.850	8	mme_assembly	instrumented	0.002773	22934016	15
halfsib	20000	3.850	8	cholmod_factor	instrumented	0.003983	12242008	15
halfsib	20000	3.850	8	mme_solve	instrumented	0.000282	2240904	15
halfsib	20000	3.850	8	selinv	instrumented	0.001007	4682064	15
halfsib	20000	3.850	8	ai_step	instrumented	0.000796	6404432	15
halfsib	20000	3.850	8	iteration_total	instrumented	0.008843	0	15
halfsib	20000	3.850	9	mme_assembly	instrumented	0.002605	22934016	15
halfsib	20000	3.850	9	cholmod_factor	instrumented	0.003881	12242008	15
halfsib	20000	3.850	9	mme_solve	instrumented	0.000275	2240904	15
halfsib	20000	3.850	9	selinv	instrumented	0.000984	4682064	15
halfsib	20000	3.850	9	ai_step	instrumented	0.000774	6404432	15
halfsib	20000	3.850	9	iteration_total	instrumented	0.008520	0	15
halfsib	20000	3.850	10	mme_assembly	instrumented	0.002597	22934016	15
halfsib	20000	3.850	10	cholmod_factor	instrumented	0.003796	12242008	15
halfsib	20000	3.850	10	mme_solve	instrumented	0.000283	2240904	15
halfsib	20000	3.850	10	selinv	instrumented	0.001008	4682064	15
halfsib	20000	3.850	10	ai_step	instrumented	0.000777	6404432	15
halfsib	20000	3.850	10	iteration_total	instrumented	0.008462	0	15
halfsib	20000	3.850	11	mme_assembly	instrumented	0.002477	22934016	15
