# HSquared.jl AI-REML per-section profiler  2026-09-19T08:14:47.114
# git_sha=c8cf8e05  julia=1.10.0  os=Darwin arm64-apple-darwin22.4.0
# blas=LBTConfig([ILP64] libopenblas64_.dylib)
# JULIA_NUM_THREADS=4  OPENBLAS_NUM_THREADS=1
# cpu=Apple M1 Ultra
# NOT CI / OPT-IN measurement only. No performance claim, no regression gate.
fixture	q	fill	iteration	section	method	wall_s	bytes	factorizations
halfsib	50000	3.850	2	mme_solve	instrumented	0.000699	5600904	11
halfsib	50000	3.850	2	selinv	instrumented	0.002765	11702048	11
halfsib	50000	3.850	2	ai_step	instrumented	0.001946	16004912	11
halfsib	50000	3.850	2	iteration_total	instrumented	0.021351	0	11
halfsib	50000	3.850	3	mme_assembly	instrumented	0.006143	57055440	11
halfsib	50000	3.850	3	cholmod_factor	instrumented	0.010090	30602008	11
halfsib	50000	3.850	3	mme_solve	instrumented	0.000715	5600904	11
halfsib	50000	3.850	3	selinv	instrumented	0.002540	11701968	11
halfsib	50000	3.850	3	ai_step	instrumented	0.001987	16004752	11
halfsib	50000	3.850	3	iteration_total	instrumented	0.021480	0	11
halfsib	50000	3.850	4	mme_assembly	instrumented	0.006230	57055520	11
halfsib	50000	3.850	4	cholmod_factor	instrumented	0.009841	30602008	11
halfsib	50000	3.850	4	mme_solve	instrumented	0.000696	5600904	11
halfsib	50000	3.850	4	selinv	instrumented	0.002795	11702016	11
halfsib	50000	3.850	4	ai_step	instrumented	0.001952	16004592	11
halfsib	50000	3.850	4	iteration_total	instrumented	0.021517	0	11
halfsib	50000	3.850	5	mme_assembly	instrumented	0.005984	57055472	11
halfsib	50000	3.850	5	cholmod_factor	instrumented	0.010446	30602008	11
halfsib	50000	3.850	5	mme_solve	instrumented	0.000697	5600904	11
halfsib	50000	3.850	5	selinv	instrumented	0.002529	11701968	11
halfsib	50000	3.850	5	ai_step	instrumented	0.001972	16004432	11
halfsib	50000	3.850	5	iteration_total	instrumented	0.021630	0	11
halfsib	50000	3.850	6	mme_assembly	instrumented	0.006350	57055520	11
halfsib	50000	3.850	6	cholmod_factor	instrumented	0.010699	30602008	11
halfsib	50000	3.850	6	mme_solve	instrumented	0.000720	5600904	11
halfsib	50000	3.850	6	selinv	instrumented	0.002903	11701968	11
halfsib	50000	3.850	6	ai_step	instrumented	0.002334	16004576	11
halfsib	50000	3.850	6	iteration_total	instrumented	0.023011	0	11
halfsib	50000	3.850	7	mme_assembly	instrumented	0.006363	57055376	11
halfsib	50000	3.850	7	cholmod_factor	instrumented	0.009778	30602008	11
halfsib	50000	3.850	7	mme_solve	instrumented	0.000698	5600904	11
halfsib	50000	3.850	7	selinv	instrumented	0.002864	11702048	11
halfsib	50000	3.850	7	ai_step	instrumented	0.001971	16004432	11
halfsib	50000	3.850	7	iteration_total	instrumented	0.021677	0	11
halfsib	50000	3.850	8	mme_assembly	instrumented	0.005913	57055440	11
halfsib	50000	3.850	8	cholmod_factor	instrumented	0.009747	30602008	11
halfsib	50000	3.850	8	mme_solve	instrumented	0.000691	5600904	11
halfsib	50000	3.850	8	selinv	instrumented	0.002518	11701968	11
halfsib	50000	3.850	8	ai_step	instrumented	0.008056	16004528	11
halfsib	50000	3.850	8	iteration_total	instrumented	0.026927	0	11
halfsib	50000	3.850	9	mme_assembly	instrumented	0.039670	57055424	11
halfsib	50000	3.850	9	cholmod_factor	instrumented	0.011071	30602008	11
halfsib	50000	3.850	9	mme_solve	instrumented	0.000776	5600904	11
halfsib	50000	3.850	9	selinv	instrumented	0.002678	11701968	11
halfsib	50000	3.850	9	ai_step	instrumented	0.030345	16004512	11
halfsib	50000	3.850	9	iteration_total	instrumented	0.084544	0	11
halfsib	50000	3.850	10	mme_assembly	instrumented	0.005824	57055440	11
halfsib	50000	3.850	10	cholmod_factor	instrumented	0.009385	30602008	11
halfsib	50000	3.850	10	mme_solve	instrumented	0.000950	5600920	11
halfsib	50000	3.850	10	selinv	instrumented	0.002468	11701968	11
halfsib	50000	3.850	10	ai_step	instrumented	0.001936	16004432	11
halfsib	50000	3.850	10	iteration_total	instrumented	0.020568	0	11
halfsib	50000	3.850	11	mme_assembly	instrumented	0.005904	57055504	11
halfsib	50000	3.850	11	cholmod_factor	instrumented	0.009943	30602008	11
halfsib	50000	3.850	11	mme_solve	instrumented	0.000698	5600904	11
halfsib	50000	3.850	11	selinv	instrumented	0.002505	11701968	11
halfsib	50000	3.850	11	ai_step	instrumented	0.002170	16004544	11
halfsib	50000	3.850	11	iteration_total	instrumented	0.021221	0	11
halfsib	50000	3.850	0	selinv	profile	0.011265	NaN	11
halfsib	50000	3.850	0	other	profile	0.302490	NaN	11
halfsib	50000	3.850	0	ai_step	profile	0.001662	NaN	11
halfsib	50000	3.850	0	mme_solve	profile	0.000554	NaN	11
halfsib	50000	3.850	0	cholmod_factor	profile	0.043952	NaN	11
halfsib	50000	3.850	0	mme_assembly	profile	0.021976	NaN	11
f0adv	5000	74.412	1	mme_assembly	instrumented	0.000614	5052576	5
f0adv	5000	74.412	1	cholmod_factor	instrumented	0.008619	9662648	5
f0adv	5000	74.412	1	mme_solve	instrumented	0.000395	324552	5
f0adv	5000	74.412	1	selinv	instrumented	1.620622	17421424	5
f0adv	5000	74.412	1	ai_step	instrumented	0.000867	1011728	5
f0adv	5000	74.412	1	iteration_total	instrumented	1.631833	0	5
f0adv	5000	74.412	2	mme_assembly	instrumented	0.000679	5052576	5
f0adv	5000	74.412	2	cholmod_factor	instrumented	0.008435	9662648	5
f0adv	5000	74.412	2	mme_solve	instrumented	0.000378	324552	5
f0adv	5000	74.412	2	selinv	instrumented	1.439128	17421680	5
f0adv	5000	74.412	2	ai_step	instrumented	0.000871	1011728	5
f0adv	5000	74.412	2	iteration_total	instrumented	1.449493	0	5
f0adv	5000	74.412	3	mme_assembly	instrumented	0.000620	5052576	5
f0adv	5000	74.412	3	cholmod_factor	instrumented	0.008273	9662648	5
f0adv	5000	74.412	3	mme_solve	instrumented	0.000365	324552	5
f0adv	5000	74.412	3	selinv	instrumented	1.424630	17421424	5
f0adv	5000	74.412	3	ai_step	instrumented	0.000866	1011728	5
f0adv	5000	74.412	3	iteration_total	instrumented	1.434756	0	5
f0adv	5000	74.412	4	mme_assembly	instrumented	0.000606	5052576	5
f0adv	5000	74.412	4	cholmod_factor	instrumented	0.008256	9662648	5
f0adv	5000	74.412	4	mme_solve	instrumented	0.000361	324552	5
f0adv	5000	74.412	4	selinv	instrumented	1.406398	17421424	5
f0adv	5000	74.412	4	ai_step	instrumented	0.000977	1011728	5
f0adv	5000	74.412	4	iteration_total	instrumented	1.416600	0	5
f0adv	5000	74.412	5	mme_assembly	instrumented	0.001153	5052992	5
f0adv	5000	74.412	5	cholmod_factor	instrumented	0.008221	9662648	5
f0adv	5000	74.412	5	mme_solve	instrumented	0.000361	324552	5
f0adv	5000	74.412	5	selinv	instrumented	1.518934	17421424	5
